,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Разработка компьютерных игр и мультимедийных приложений,"Разработка компьютерных игр и мультимедийных приложений – процесс создания компьютерных программ, направленных на развлечение, обучение пользователя, а также создание информационных интерактивных приложений. Игры и мультимедийные приложения относятся к классу программных систем высокой сложности. Разработка их требует высокой квалификации. Проектирование игр, как программных систем, требует умений анализа требований к программной системе, навыков программирования, особенностей технических средств и сред разработки. Кроме того, реализация компьютерных игр требует алгоритмических умений и навыков, проектирования и разработки интерактивных приложений, двумерной и трехмерной компьютерной графики, кроссплатформенном программировании и т.д. В процесс разработки входит анализ и постановка задачи, разработка игровых объектов и анимации, настройка физики и методов взаимодействия пользователя с игровыми объектами, построение игровых уровней, построение интерфейса пользователя, отладка и тестирование проекта. ",Организация и управление работой,13,"Специалист должен знать и понимать: • Принципы и навыки, обеспечивающие продуктивную работу; • Преимущества использования современных средств разработки;                                                    Специалист должен уметь: • Использовать предоставленные ресурсы для продуктивной работы; • Применять исследовательские технологии и навыки, чтобы иметь представление о самых последних отраслевых рекомендациях; • Анализировать результаты собственной деятельности в сравнении с ожиданиями и потребностями клиента и организации. ",Программирование на языке С#,27,Специалист должен знать и понимать: • Базовые алгоритмы программирования • Структуры данных • Объектно-ориентированное программирование • Событийно-ориентированное программировани Специалист должен уметь: • пользоваться Visual Studio • пользоваться MonoDevelop • Реализовать алгоритмы на языке программирования C# ,Unity 3D,30,Специалист должен знать и понимать: • Основные принципы и понятия разработки игр • Технологию работы с объектами на сцене  • Компоненты объектов • Настройку игровых объектов и их компонентов Специалист должен уметь: • Работать со сценами • Уметь верстать игровые сцены • Работать с компонентами объект,Оптимизация компьютерных игр и приложений,10,Специалист должен знать и понимать: • Особенности оптимизации компьютерных игр и приложений для ПК и мобильных устройств • Архитектуру мобильных устройств в контексте оптимизации приложений Специалист должен уметь: • Оптимизировать текстуры и материалы для целевых платформ • Оптимизировать основной процесс приложения • Оптимизировать использование физики в компьютерных играх и приложений • Умение использовать встроенные в игровые движки внутренние и внешние профайлеры ,Анализ и проектирование ,15,"Специалист должен знать и понимать: • Важность принятия во внимание всех возможных вариантов и выработки оптимального решения на основе здравого аналитического суждения и с учетом интересов клиента; • Важность использования методологий системного анализа и проектирования; • Необходимость следить за новыми технологиями и принимать решение относительно уместности их применения; • Важность оптимизации проекта системы с упором на модульность и возможность повторного использования. Специалист должен уметь: • Проектировать приложение при помощи: • макета приложения и переходов; • схемы класса, схемы последовательности, схемы состояния, схемы деятельности; • проектирования человеко-машинного интерфейса; • проектирования многоуровневого приложения. ",Публикация,5,"Специалист должен знать и понимать: • Особенности сборки приложения под разные ОС(Windows, Android, IOS) • Специалист должен уметь: правильно собрать «билд» приложения, • запустить «билд» на устройстве, • продемонстрировать работоспособность приложения ",,,,,,,,,,,,
Разработка мобильных приложений(юниоры),"Смартфоны продаются и продажи только растут. Компании всё больше вкладывают в развитие мобильных технологий, благодаря чему потребители из просто пользователей плавно превращаются в тех, кто использует мобильные устройства везде и всегда: на работе, дома, на отдыхе. Что приводит к важным последствиям для компаний-разработчиков мобильных приложений: спрос на «Mobile-программистов», способных выполнять множество профессиональных задач, растёт также высокими темпами. А подходящих профессионалов на рынке сейчас появляется крайне мало. Основная задача специалиста по разработке мобильных приложений— создание мобильного приложения, сочетающего в себе такие обязательные качества, как безотказная работа на одной из мобильных операционных платформ (Apple iOS, Google Android), удобный пользовательский интерфейс, многофункциональность.",Организация и управление работой,5,"Специалист должен знать и понимать: • Принципы и навыки, обеспечивающие продуктивную работу; • Преимущества использования современных средств разработки; • Принципы и навыки, командной работы;Специалист должен уметь: • Использовать предоставленные ресурсы для продуктивной работы; • Применять исследовательские технологии и навыки, чтобы иметь представление о самых последних отраслевых рекомендациях; • Анализировать результаты собственной деятельности в сравнении с ожиданиями и потребностями клиента и организации. ","Решение проблем, инновационность и инициативность",5,"Специалист должен знать и понимать: • Общие типы проблем, которые могут возникнуть при разработке программного обеспечения; • Общие типы проблем, которые могут возникнуть в коммерческой организации; • Диагностические подходы к решению проблем. • Тенденции и разработки в отрасли, включая новые платформы, языки, условные обозначения и технические навыки.Специалист должен уметь: • Использовать аналитические навыки, чтобы: • синтезировать сложную или неоднородную информацию; • определять функциональные и нефункциональные требования спецификации. • Использовать навыки исследования и обучения, чтобы: • получать пользовательские требования (например, опросы, анкеты, поиск и анализ документов, совместная разработка приложения и наблюдение); • независимо исследовать возникшие проблемы. • Использовать навыки решения проблем, чтобы: • своевременно идентифицировать и решать проблемы; • грамотно собирать и анализировать информацию; • разрабатывать альтернативы для принятия решений, выбирать наиболее уместные варианты и реализовать необходимое решение. 3 ",Анализ и проектирование мобильного приложения,30,"Специалист должен знать и понимать: • Важность принятия во внимание всех возможных вариантов и выработки оптимального решения на основе здравого аналитического суждения и с учетом интересов клиента; • Важность использования методологий системного анализа и проектирования; • Необходимость следить за новыми технологиями и принимать решение относительно уместности их применения; • Важность оптимизации проекта системы с упором на модульность и возможность повторного использования. 
  Специалист должен уметь: • Проектировать приложение при помощи: • макета приложения и переходов; • схемы класса, схемы последовательности, схемы состояния, схемы деятельности; • проектирования человеко-машинного интерфейса; • проектирования системы безопасности и средств управления; • проектирования многоуровневого приложения. ",Разработка мобильных приложений,50,"Специалист должен знать и понимать: • Важность принятия во внимание всех возможных вариантов и выработки оптимального решения для выполнения требований пользователя и с учетом интересов клиента; • Важность использования методологий разработки систем; • Важность принятия во внимание всех нормальных и аномальных сценариев и работы с исключительными ситуациями;• Важность соблюдения стандартов (например, кодекса стандартов, руководства по стилю, проектов пользовательских интерфейсов); • Использование существующего кода в качестве основы для анализа и модификаций; • Важность выбора наиболее уместного инструмента разработки из имеющихся в наличии.  Специалист должен уметь: • Использовать технологии для разработки мобильных приложений; • Использовать технологии для работы с базами данных; • Использовать технологии для работы с различными протоколами обмена данными; • Строить приложения со сложной логикой переходов; • Работать со стандартными сервисами платформы (например: google services, apple); • Работать со встроенными устройствами для получения данных (например: гироскоп, GPS, акселерометр). ","
 
Тестирование мобильных приложений ",10,"Специалист должен знать и понимать: • Устранение наиболее распространенных проблем ПО; • Важность тщательного тестирования решений; • Важность документирования испытаний. 
  Специалист должен уметь: • Планировать тестирование (например, тестирование элементов, объемное тестирование, комплексное тестирование, приемочное тестирование); • Проектировать контрольные примеры с данными и проверять результаты этих примеров; • Отлаживать мобильное приложение и устранять ошибки; • Отчитываться о процессе тестирования. ",,,,,,,,,,,,,,,
Преподавание в младших классах,"Высококвалифицированные специалисты в сфере начального общего образования владеют широким спектром современных технологий, позволяющих эффективно решать задачи, связанных с обучением и воспитанием обучающихся младших классов. Обучение и воспитание предполагает создание условий для всестороннего развития личности ребенка. Преподаватель в младших классах должен уметь создать такие условия в разных видах деятельности: урочной и внеурочной. Полноценное создание условий обеспечивается компетентностью преподавателя начальных классов в вопросах взаимодействия с участниками образовательных отношений (проведение мастер-классов для коллег, организация родительского собрания), в вопросах постоянного повышения квалификации и самообразования (ведение персонального сайта в информационно-телекоммуникационной сети интернет, оперативное решение ситуативных педагогических задач). Преподавателю в младших классах необходим высокий уровень специальных знаний и навыков. Развитие требуемой компетенции предполагает повышение общей культуры преподавателя, владение нормами речевой культуры, профессиональной этики, развитие способности работать эффективно и экономично для достижения выдающихся результатов в установленное время и в соответствии с заданными условиями. Крайне важна способность работать инициативно. Преподаватель в профессиональной деятельности использует большое количество специализированного оборудования и материалов. Это требует бережного обращения с ними, соблюдения высоких стандартов гигиены,
техники безопасности и норм охраны здоровья.
Преподаватель в младших классах работает в социальном и
коммерческом секторе. В стремительно меняющемся открытом мире главным
профессиональным качеством, которое он должен постоянно демонстрировать
своим ученикам, становится умение учиться. Готовность к переменам,
мобильность, способность к нестандартным трудовым действиям,
ответственность и самостоятельность в принятии решений – все эти
характеристики деятельности успешного профессионала в полной мере
относятся и к специалисту по работе с детьми младшего школьного возраста.
Обретение этих ценных качеств невозможно без расширения пространства
педагогического творчества.
У преподавателя в младших классах должны быть сформированы
компетенции принятия обоснованных и эффективных решений в
профессиональной деятельности, осуществления осознанного выбора из
вариантов решения с последующей ответственностью за сделанный выбор,
предоставления образовательных и научных услуг высочайшего качества на
основе быстрого освоения и применения научно-образовательных инноваций.
Осуществляя профессиональную деятельность, специалист по работе с детьми
младшего школьного возраста должен обладать комплексом универсальных
знаний фундаментального характера; умениями, навыками и опытом
самостоятельной деятельности; личной ответственностью, способностью к
профессиональной саморефлексии и самоактуализации, постоянному обучению
в течение всей жизни.",Общекультурное развитие,10,"Специалист должен знать и понимать:
• Основы языкознания, литературы, литературоведения и
иностранного языка; основы гуманитарных и
естественно-научных дисциплин
• Источники информации: книги и средства массовой
информации, кино- и видеопродукцию, компьютерные
образовательные программы и Интернет;
• Влияние культуры, национально-культурной специфики
и лингвистического фона на обучение учащихся;
• Основные свойства речи: грамотность, интонационная
выразительность, четкость и эмоциональная
насыщенность. Специалист должен уметь:
• Излагать материал (содержание и форма изложения) с
учетом возможностей, интересов и подготовленности
аудитории.
• Выразительно читать и декламировать.
• Применять выразительные средства с учетом
особенностей педагогической ситуации (выразительность
речи, ее темп, интонация, мимика, пантомимика и др.).
• Выражать собственное отношение к явлениям и
событиям с помощью вербальных и невербальных
средств коммуникации, соответствующих ситуации
общения и требованиям общей культуры.
• Аргументированно излагать свою точку зрения.
• Демонстрировать приемы критического мышления,
способы коммуникации, креативности.",Культура безопасного труда Организация рабочего пространства и рабочего процесса,5,"Специалист должен знать и понимать: Участник конкурса должен знать и понимать: • Назначение, применение, способы технического обслуживания оборудования, а также правила безопасности при работе на нем и при организации рабочего пространства. • Назначение, применение, уход и возможные риски, связанные с использованием различных средств и электрооборудования. • Основы культуры труда. • Возрастные особенности детей младшего школьного возраста.
• Время, необходимое для выполнения каждого задания, в
соответствии с возрастом детей.
• Методы и приемы работы с детьми младшего школьного
возраста.
• Существующие правила безопасности и Санитарногигиенические нормы.
• Соблюдение правовых, нравственных и этических норм,
требований профессиональной этики.
Специалист должен уметь:
• Подготавливать рабочее место и следить за тем, чтобы
оно было чистым, безопасным и комфортным.
• Планировать, подготавливать и выполнять каждое
задание в рамках заданного времени.
• Подбирать, использовать, очищать и хранить все
оборудование и материалы в безопасности, чистоте и в
соответствии с инструкциями.
• Работать в соответствии с правилами техники
безопасности.
• Организовывать работу в соответствии с требованиями
культуры труда",Общепрофессиональное развитие,40,"Специалист должен знать и понимать: • Понятия, содержание и структуру учебной программы, и методику преподавания учебного предмета (предметов); • Общие закономерности развития ребенка в младшем школьном возрасте; • Дидактические основы планирования, проведения и анализа мероприятий урочной и внеурочной деятельности; • Современные теории и технологии обучения и воспитания; • Факторы, обеспечивающие успешность педагогической деятельности. • Способы мотивации к деятельности Специалист должен уметь:
• Осуществлять выбор содержательных компонентов и
обеспечивать последовательность этапов процесса
обучения;
• Обеспечивать постановку и достижение целей обучения
с учетом способностей и индивидуальных особенностей учащихся;
• Применять вербальные и невербальные
коммуникационные стратегии для вовлечения
обучающихся в образовательный процесс;
• Применять современные теории и технологии обучения и
воспитания;
• Осуществлять контроль и оценку учебных достижений,
текущих и итоговых результатов освоения основной
образовательной программы обучающимися.
• Выбирать и применять способы и приемы мотивации к
деятельности с учетом потребностей разных возрастных
групп",Взаимодействие с родителями и сотрудниками образовательного учреждения,25,"Специалист должен знать и понимать: • Основные документы о правах ребенка и обязанности взрослых по отношению к детям; • Сущность и своеобразие процесса социализации младших школьников; • Задачи и содержание семейного воспитания; • Особенности современной семьи и ее функции; • Содержание и формы работы с семьей; • Особенности проведения индивидуальной работы с семьей; • Роль и значение взаимодействия с сотрудниками образовательного учреждения. Специалист должен уметь:
• Формулировать цели и задачи взаимодействия с семьей;
• Организовывать взаимодействие с семьей и коллегами в
разнообразных формах (родительские собрания,
педагогические советы, методические совещания,
беседы, консультации и т.д.);
• Консультировать родителей по вопросам семейного
воспитания, социального, психического и физического
развития ребенка;
• Транслировать передовой педагогический опыт
посредством различных форм интерактивного
взаимодействия.
• Организовать целенаправленное и содержательное
взаимодействие с учетом возраста и уровня
профессионально-педагогической подготовленности целевой аудитории",Саморазвитие и самообразование,10,"Специалист должен знать и понимать: • Особенности современного социального опыта в области психолого – педагогической теории и практики; • Педагогические инновации в сфере начального общего образования; • Основы исследовательской деятельности; • Роль взаимодействия с учителями-профессионалами в расширении профессиональных знаний и совершенствовании практических умений. Специалист должен уметь:
• Выполнять самоанализ и анализ деятельности других
педагогов;
• Определять стратегии собственной профессиональной
деятельности и разрабатывать собственную программу
профессионального развития;
• Осуществлять и организовывать исследовательскую и
проектную деятельность в области начального общего
образования;",Методическое обеспечение образовательного процесса,10,"Специалист должен знать и понимать: • Концептуальные основы и содержание примерных и вариативных программ начального общего образования. • Особенности современных подходов и педагогических технологий начального общего образования. • Педагогические, гигиенические, специальные требования к созданию информационно-образовательной среды образовательного учреждения Специалист должен уметь:
• Осуществлять выбор и использование средств обучения
(включая ИКТ-ресурсы), соответствующих возрастным
особенностям младших школьников, содержанию учебного
предмета и этапам процесса обучения.
• Применять технологии обучения с использованием ИКТ
для расширения возможностей учащихся при освоении
учебного предмета (предметов).
• Участвовать в исследовательской и проектной
деятельности в области начального общего образования.
• Систематизировать и оценивать педагогический опыт и
образовательные технологии в области начального общего образования на основе изучения
профессиональной литературы, самоанализа и анализа
деятельности других педагогов.",,,,,,,,,,,,
Дошкольное воспитание(юниоры)," Воспитатель детей дошкольного возраста осуществляет присмотр и уход
за детьми в соответствии с санитарными нормами и правилами безопасности
жизни и здоровья детей дошкольного возраста; организует и проводит
мероприятия, направленные на укрепление здоровья ребенка и его физическое
развитие; организует и проводит различные виды деятельности (игровую,
исследовательскую, проектную, познавательную и т.д.) и общение детей;
организует и проводит занятия по основным общеобразовательным программам
дошкольного образования; взаимодействует с родителями и сотрудниками
образовательной организации; организует методическое обеспечение
образовательного процесса. Также в сферу его ответственности входит
соблюдение техники безопасности и санитарных норм.
Воспитатель детей дошкольного возраста организует виды
деятельности, способствующие развитию мышления, речи, общения,
воображения и детского творчества, личностного, физического и
художественно-эстетического развития детей. Поддерживает спонтанную игру
детей, обогащает ее, обеспечивает игровое время и пространство. Оценивает
индивидуальное развитие детей. Организует совместную и самостоятельную
деятельность дошкольников. Создает условия для позитивных,
доброжелательных отношений между детьми, в том числе принадлежащими к
разным национально-культурным, религиозным общностям и социальным слоям, а также имеющими различные (в том числе ограниченные) возможности
здоровья.
Развивает коммуникативные способности детей, позволяющие
разрешать конфликтные ситуации со сверстниками. Развивает умения детей
работать в группе сверстников. Участвует в построении вариативного
развивающего образования, ориентированного на уровень развития,
проявляющийся у ребенка в совместной деятельности со взрослым и более
опытными сверстниками.
Планирует, реализует и анализирует образовательную работу с детьми
раннего и дошкольного возраста в соответствии с ФГОС дошкольного
образования (ФГОС). Планирует и корректирует образовательные задачи
(совместно с психологом и другими специалистами) по результатам
мониторинга, с учетом индивидуальных особенностей развития каждого ребенка
раннего и/или дошкольного возраста.
Участвует в создании психологически комфортной и безопасной
образовательной среды, обеспечивая безопасность жизни детей, сохранение и
укрепление их здоровья, поддерживая эмоциональное благополучие ребенка в
период пребывания в образовательной организации.
Взаимодействует с родителями (законными представителями) по
вопросам образования ребенка, непосредственного вовлечения их в
образовательную деятельность, в том числе посредством создания
образовательных проектов совместно с семьей на основе выявления
потребностей и поддержки образовательных инициатив семьи.
Знает специфику дошкольного образования и особенности организации
образовательной работы с детьми раннего и дошкольного возраста. Знает общие
закономерности развития ребенка в раннем и дошкольном детстве; особенности
становления и развития детских деятельностей в раннем и дошкольном возрасте.
Владеет теорией и педагогическими методиками физического,
познавательного и личностного развития детей раннего и дошкольного возраста. Создает позитивно психологический климат в группе и условия для
доброжелательных отношений между детьми.
Владеет методами и средствами психолого-педагогического
просвещения родителей (законных представителей) детей раннего и
дошкольного возраста, уметь выстраивать партнерское взаимодействие с ними
для решения образовательных задач.
Владеет ИКТ - компетенциями, необходимыми и достаточными для
планирования, реализации и оценки образовательной работы с детьми раннего и
дошкольного возраста.
Воспитатель имеет знания по педагогике, психологии, основам
безопасности жизнедеятельности, оказанию первой помощи, этике и эстетике,
содержанию и принципам организации дошкольного воспитания. Знает
методики обучения и развития детей, умеет организовывать их познавательную
деятельность.
Воспитатель дошкольного образования умеет мастерить, рисовать,
имеет актёрские навыки.
Соблюдает правовые, нравственные и этические нормы, требования
профессиональной этики. Обладает основными компетенциями, необходимыми
для создания условий развития детей.
","Соблюдение санитарных норм и правил профилактики травматизма, обеспечение охраны жизни и здоровья детей",16,"Специалист должен знать и понимать:
• Стандарт отрасли ост 29.127-2002 «Издания книжные и
журнальные для детей и подростков. Общие технические
условия» (принят и введен в действие приказом МПТР РФ
от 17 января 2003 г. № 10);
• технику безопасности при работе с электрооборудованием
и правила СанПин;
• технику безопасности при работе с бумагой, клеем,
ножницами и правила СанПин;
• правила техники безопасности и СанПин при работе с
конструкторами LEGO;
• педагогические и гигиенические требования к проведению
экскурсий;
• правила СанПин и техники безопасности при организации
физкультурно-оздоровительной работы с детьми;
• требования к информационной, материальной,
пространственной среде ДОО. Специалист должен уметь:
• планировать, организовывать и проводить любую
совместную деятельность с детьми в соответствии с
правилами техники безопасности и правилами СанПин.","Поиск, анализ и оценка информации, необходимой для постановки и решения профессиональных задач",24,"Специалист должен знать и понимать: • основную общеобразовательную программу «От рождения до школы»; • содержание образовательных областей по разным возрастным группам; • литературные произведения для детей дошкольного возраста по образовательной программе «От рождения до школы»; • структуру литературного анализа художественного текста; • возрастные особенности детей дошкольного возраста; • принципы организации проблемного обучения и экспериментирования с детьми дошкольного возраста; • определение образовательного контента для разных видов
совместной деятельности с детьми;
• различные виды корригирующей гимнастики (разминка в
постели, самомассаж; гимнастика игрового характера;
гимнастика с использованием тренажёра или спортивного
комплекса; пробежка по массажным дорожкам);
• авторские методики закаливания детей дошкольного
возраста;
• особенности психических и познавательных процессов
учебно-познавательной деятельности детей дошкольного
возраста. Специалист должен уметь:
• анализировать художественные тексты разных родов и
жанров;
• обоснованно делать выбор произведения в соответствии
с разработанными критериями (художественный уровень,
воспитательное значение, возраст детей, время года, выбор
методов работы с книгой);
• подбирать содержание и материалы для оформления
информационно-демонстрационного стенда в группе ДОО в
соответствии с возрастными особенностями детей;
• подбирать корригирующие упражнения для комплекса
гимнастики после дневного сна;
• формулировать цель, задачи и ожидаемые результаты
занятия с подгруппой детей.
",Использование информационно-коммуникационных технологий,6,"Специалист должен знать и понимать: • компьютерные средства обучения (интерактивная доска, интерактивный стол); • возможности программ Microsoft Office; SMART notebook; SMART table Специалист должен уметь:
• применять компьютерные средства обучения
(интерактивная доска, интерактивный стол);
• создавать документы при помощи программ Microsoft
Office;
• работать на программах SMART notebook и SMART table","Планирование, организация и проведение мероприятий совместной деятельности с детьми",37.5,"Специалист должен знать и понимать:
• методику разработки и проведения занятий с подгруппой
детей;
• структуру занятия, методы и приемы организации
деятельности детей на занятии, виды детской деятельности;
• содержание образовательных областей по разным
возрастным группам. Специалист должен уметь:
• определять программное содержание: образовательную,
развивающую и воспитательную задачи;
• организовывать экскурсии в соответствии с
методическими требованиями;
• соблюдать структурные компоненты мероприятий
совместной деятельности;
• организовывать различные виды деятельности в
соответствии с режимом дня, перспективным планированием
и т.д.;
• планировать и корректировать образовательные задачи
(исходя из возрастных и индивидуальных особенностей
детей).","Коммуникативные навыки, творческий подход",16.5,"Специалист должен знать и понимать: • профессиональную терминологию; • способы и формы общения с детьми; • средства выразительности речи; • этические нормы. Специалист должен уметь:
• владение профессиональной терминологией;
• коммуницировать с разными субъектами образовательного
процесса.",,,,,,,,,,,,,,,
